#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2018 09 25 00 50  80 12.0 14.0   2.2     7   5.4 101 1032.4  16.5  19.4  12.9   MM +0.3    MM
2018 09 24 23 50  80 11.0 13.0   2.4     7   5.7 106 1032.7  16.5  19.4  12.6   MM +0.5    MM
2018 09 24 22 50  80 11.0 13.0   2.4     7   5.4  88 1032.3  16.7  19.4  12.7   MM +0.4    MM
2018 09 24 21 50  80 11.0 14.0   2.2     6   5.2  82 1032.1  16.8  19.4  12.2   MM +0.0    MM
2018 09 24 20 50  70 11.0 13.0   2.4     7   5.4  84 1032.2  16.9  19.5  12.5   MM -0.0    MM
2018 09 24 19 50  70 12.0 14.0   2.3     7   5.4  81 1031.9  16.9  19.5  12.7   MM +0.0    MM
2018 09 24 18 50  70 12.0 14.0   2.3     6   5.3  81 1032.1  17.1  19.5  12.8   MM +0.6    MM
2018 09 24 17 50  70 12.0 14.0   2.1     6   5.2  77 1032.0  17.5  19.6  13.0   MM +0.3    MM
2018 09 24 16 50  70 12.0 14.0   2.1     6   5.2  75 1032.0  17.7  19.6  13.7   MM +0.7    MM
2018 09 24 15 50  70 12.0 14.0   1.9     6   4.9  81 1031.5  17.8  19.6  14.2   MM +1.3    MM
2018 09 24 14 50  80 11.0 13.0   1.6     6   4.7  76 1031.7  18.1  19.6  12.7   MM +2.1    MM
2018 09 24 13 50  80 10.0 12.0   1.4     5   4.5  75 1031.3  18.1  19.6  13.1   MM +2.8    MM
2018 09 24 12 50  80 10.0 12.0   1.3     5   4.3  77 1030.2  17.9  19.6  12.3   MM +2.5    MM
2018 09 24 11 50  80  9.0 11.0   1.2     4   4.2  74 1029.6  17.7  19.6  12.5   MM +2.4    MM
2018 09 24 10 50  60  9.0 10.0   1.0     9   4.4 145 1028.5  17.6  19.6  12.3   MM +1.8    MM
2018 09 24 09 50  70  7.0  9.0   0.8    11   4.6 111 1027.7  17.7  19.6  12.6   MM +1.2    MM
2018 09 24 08 50  50  6.0  7.0   0.8    11   4.6 108 1027.2  17.5  19.6  12.5   MM +0.5    MM
2018 09 24 07 50  30  6.0  7.0   0.7    12   5.5  98 1026.7  17.7  19.7  12.2   MM +0.0    MM
2018 09 24 06 50  20  5.0  6.0   0.7    11   6.5 100 1026.5  17.9  19.8  12.3   MM -0.3    MM
2018 09 24 05 50  10  3.0  5.0   0.8    11   7.0  98 1026.7  18.1  19.9  13.2   MM +0.6    MM
2018 09 24 04 50  30  2.0  3.0   0.8    11   6.4 104 1026.7  18.0  20.0  13.4   MM +1.0    MM
2018 09 24 03 50  40  1.0  2.0   0.7    10   6.4 137 1026.8  18.0  20.0  13.8   MM +1.7    MM
2018 09 24 02 50  50  2.0  3.0   0.7    12   6.4 122 1026.1  18.1  20.0  13.7   MM +1.6    MM
2018 09 24 01 50  60  1.0  3.0   0.8     9   6.7 132 1025.7  18.1  20.0  13.4   MM +1.2    MM
2018 09 24 00 50  30  2.0  3.0   0.8    10   6.5 106 1025.1  18.1  20.0  13.3   MM +0.9    MM
2018 09 23 23 50  MM  0.0  1.0   0.8    11   6.3 112 1024.5  17.9  20.0  13.0   MM +0.6    MM
2018 09 23 22 50 170   MM   MM   0.8    13   6.2 160 1024.5  17.9  20.1  13.0   MM +0.7    MM
2018 09 23 21 50  MM  0.0  1.0   0.8    11   5.6  98 1024.2  17.9  20.1  12.9   MM +0.4    MM
2018 09 23 20 50  MM  0.0  1.0   0.9     9   5.7 128 1023.9  18.0  20.1  13.1   MM +0.0    MM
2018 09 23 19 50  MM  0.0  2.0   0.9    10   5.6 137 1023.8  18.0  20.1  13.0   MM -0.6    MM
2018 09 23 18 50 120  1.0  2.0   0.9     7   5.4 140 1023.8  18.0  20.1  12.9   MM -0.9    MM
2018 09 23 17 50 110  2.0  4.0   0.9     9   5.1 143 1023.9  18.1  20.1  12.9   MM -0.3    MM
2018 09 23 16 50 130  2.0  4.0   0.9     8   5.1 156 1024.4  18.1  20.1  12.7   MM +0.0    MM
2018 09 23 15 50  90  3.0  5.0   0.9    11   5.0 119 1024.7  18.2  20.1  12.7   MM +0.8    MM
2018 09 23 14 50 110  5.0  6.0   0.9     9   5.0 139 1024.2  18.2  20.1  13.1   MM +1.3    MM
2018 09 23 13 50 100  4.0  5.0   0.9    10   5.2 110 1024.4  18.0  20.1  13.3   MM +0.7    MM
2018 09 23 12 50 100  5.0  6.0   0.9    10   4.9 131 1023.9  18.0  20.1  13.6   MM +0.6    MM
2018 09 23 11 50  70  7.0  8.0   1.0    10   4.9 102 1022.9  17.9  20.1  13.9   MM +0.3    MM
2018 09 23 10 50  80  3.0  4.0   1.0    10   4.9 131 1023.7  18.2  20.1  12.8   MM +1.2    MM
2018 09 23 09 50  80  3.0  5.0   0.9     9   4.8 111 1023.3  18.3  20.1  12.7   MM +1.0    MM
2018 09 23 08 50  90  5.0  6.0   0.9     9   4.8 106 1022.6  18.3  20.1  13.1   MM -0.0    MM
2018 09 23 07 50 100  5.0  7.0   1.0     9   4.7 116 1022.5  18.5  20.1  13.8   MM +0.0    MM
2018 09 23 06 50 120  5.0  6.0   0.9    10   4.9 126 1022.3  18.6  20.1  14.7   MM +0.0    MM
2018 09 23 05 50 120  5.0  6.0   0.8    11   4.6 326 1022.7  18.7  20.2  14.4   MM -0.0    MM
2018 09 23 04 50  80  5.0  7.0   0.8    10   4.7 128 1022.5  19.3  20.2  13.4   MM +0.4    MM
2018 09 23 03 50 110  5.0  6.0   0.8    10   4.9 119 1022.2  19.4  20.2  14.0   MM +0.0    MM
2018 09 23 02 50 120  3.0  4.0   0.9    11   5.2 123 1022.7  19.7  20.2  14.5   MM +1.3    MM
2018 09 23 01 50  30  6.0  8.0   0.9    10   5.1 112 1022.1  19.7  20.2  14.4   MM +1.0    MM
2018 09 23 00 50  10  5.0  6.0   0.8    10   5.2  81 1022.2  19.9  20.2  14.2   MM +1.7    MM
2018 09 22 23 50  10  4.0  6.0   0.9    11   5.4 104 1021.4  20.4  20.3  14.1   MM +1.2    MM
2018 09 22 22 50 350  3.0  4.0   0.9    11   5.4  54 1021.1  20.3  20.3  13.5   MM +1.3    MM
2018 09 22 21 50 340  4.0  5.0   1.0    11   5.3  63 1020.5  20.1  20.4  13.2   MM +0.7    MM
2018 09 22 20 50 340  5.0  6.0   1.0    11   5.3 126 1020.2  20.0  20.4  12.6   MM +0.5    MM
2018 09 22 19 50 350  6.0  7.0   1.2     6   5.2 194 1019.8  19.8  20.5  12.2   MM +0.5    MM
2018 09 22 18 50 340  6.0  7.0   1.2     6   5.2 188 1019.8  19.9  20.5  12.6   MM +0.7    MM
2018 09 22 17 50 340  5.0  6.0   1.4     6   5.1 189 1019.7  19.8  20.4  12.7   MM +1.0    MM
2018 09 22 16 50 330  7.0  9.0   1.4     7   5.1 186 1019.3  20.0  20.3  12.4   MM +1.5    MM
2018 09 22 15 50 330  6.0  8.0   1.3     6   4.8 190 1019.1  20.6  20.3  14.6   MM +2.5    MM
2018 09 22 14 50 340  6.0  8.0   1.4     7   5.4 191 1018.7  20.7  20.3  15.7   MM +3.1    MM
2018 09 22 13 50 320  8.0 10.0   1.6     6   5.3 186 1017.8  21.3  20.3  16.3   MM +3.1    MM
2018 09 22 12 50 270  7.0  8.0   1.8     7   5.2 195 1016.6  21.9  20.3  20.4   MM +2.8    MM
2018 09 22 11 50 250  7.0  8.0   2.0     6   5.2 214 1015.6  21.3  20.2  20.5   MM +2.0    MM
2018 09 22 10 50 240  8.0 10.0   2.1     6   5.3 222 1014.7  21.6  20.2  20.5   MM +0.9    MM
2018 09 22 09 50 230 11.0 13.0   2.1     6   5.2 226 1013.8  21.9  20.2  20.5   MM -0.7    MM
2018 09 22 08 50 230 11.0 14.0   1.9     5   5.0 211 1013.6  21.7  20.2  20.3   MM -1.5    MM
2018 09 22 07 50 210 10.0 12.0   1.7     6   4.9 234 1013.8  21.4  20.2  20.2   MM -2.6    MM
2018 09 22 06 50 210  9.0 12.0   1.5     5   4.8 210 1014.5  21.2  20.2  19.9   MM -2.6    MM
2018 09 22 05 50 210 10.0 11.0   1.4    11   4.9  98 1015.1  21.3  20.2  19.5   MM -2.4    MM
2018 09 22 04 50 210  8.0 10.0   1.3     4   4.8 201 1016.4  21.2  20.2  19.3   MM -1.5    MM
2018 09 22 03 50 210  7.0  9.0   1.3    11   5.2  88 1017.1  21.2  20.2  19.5   MM +0.0    MM
2018 09 22 02 50 200  6.0  8.0   1.3    11   5.2  93 1017.5  21.1  20.2  19.4   MM -0.5    MM
2018 09 22 01 50 200  6.0  7.0   1.2    11   5.0 105 1017.9  21.0  20.1  19.0   MM -1.2    MM
2018 09 22 00 50 190  7.0  8.0   1.2    11   5.1 120 1017.3  20.8  20.2  18.8   MM -2.3    MM
2018 09 21 23 50 190  7.0  9.0   1.2    11   5.0  97 1018.0  20.5  20.2  18.2   MM -2.4    MM
2018 09 21 22 50 200  7.0  8.0   1.1    10   4.9  71 1019.1  20.5  20.2  17.8   MM -2.2    MM
2018 09 21 21 50 190  8.0  9.0   1.1    12   5.1 114 1019.6  20.4  20.2  16.9   MM -2.6    MM
2018 09 21 20 50 190  7.0  8.0   1.1    12   5.1 125 1020.4  20.3  20.3  16.2   MM -2.6    MM
2018 09 21 19 50 190  7.0  8.0   1.1    11   5.2 110 1021.3  20.0  20.3  15.6   MM -2.1    MM
2018 09 21 18 50 180  5.0  7.0   1.1    11   5.3 111 1022.2  19.4  20.3  15.9   MM -2.3    MM
2018 09 21 17 50 170  5.0  6.0   1.1    11   5.5 116 1023.0  19.0  20.3  15.3   MM -2.2    MM
2018 09 21 16 50 160  5.0  7.0   1.1    11   5.4  97 1023.4  18.6  20.2  14.8   MM -2.1    MM
2018 09 21 15 50 150  4.0  6.0   1.1    11   5.2 124 1024.5  18.4  20.2  14.8   MM -0.9    MM
2018 09 21 14 50 140  5.0  6.0   1.1    10   5.6  99 1025.2  18.4  20.1  14.3   MM -0.6    MM
2018 09 21 13 50 140  5.0  8.0   1.1    11   5.5 123 1025.5  18.5  20.1  14.0   MM -0.5    MM
2018 09 21 12 50 130  6.0  8.0   1.2     8   5.9 113 1025.4  18.5  20.1  14.3   MM +0.0    MM
2018 09 21 11 50 130  4.0  5.0   1.0     8   5.7 118 1025.8  18.7  20.1  14.1   MM +0.7    MM
2018 09 21 10 50 140  2.0  4.0   1.2    10   5.9 103 1026.0  18.3  20.1  13.9   MM +1.1    MM
2018 09 21 09 50 130  3.0  4.0   1.2    11   5.5 117 1025.3  18.3  20.2  14.1   MM +0.6    MM
2018 09 21 08 50 110  4.0  5.0   1.0    10   5.1 108 1025.1  18.4  20.2  14.3   MM -0.0    MM
2018 09 21 07 50 130  3.0  5.0   1.0    11   5.0  96 1024.9  18.4  20.2  14.3   MM -0.4    MM
2018 09 21 06 50 160  5.0  6.0   1.1    11   4.9 123 1024.7  18.3  20.3  15.3   MM -0.5    MM
2018 09 21 05 50 130  5.0  7.0   1.2     8   5.1 115 1025.1  18.4  20.4  15.0   MM -0.6    MM
2018 09 21 04 50 130  5.0  6.0   1.2    11   5.2 111 1025.3  18.4  20.4  15.2   MM +0.0    MM
2018 09 21 03 50 120  6.0  7.0   1.3     8   5.4 110 1025.2  18.6  20.3  15.1   MM +0.3    MM
2018 09 21 02 50 110  4.0  6.0   1.2     8   5.1 109 1025.7  18.5  20.3  15.3   MM +1.3    MM
2018 09 21 01 50 110  5.0  8.0   1.2     8   5.3 118 1025.4  18.3  20.2  16.1   MM +1.4    MM
2018 09 21 00 50 100  5.0  7.0   1.0    11   5.2 121 1024.9  18.4  20.3  15.7   MM +1.1    MM
