DART Station Listing - 09/25/2018 0117 UTC
Station ID   Name                                                Latitude   Longitude   Water Depth   Deployment Start        Threshold   Owner
21413        690 NM SE of Tokyo, Japan                           30.53333   152.13167   5880          2018-07-11 17:00:00.0   99          NDBC
21414        184 NM SW of Adak, AK                               48.97033   178.21333   5479          2018-06-14 23:00:00.0   99          NDBC
21415        175 NM S of Attu, Alaska                            50.16500   171.92334   4855          2017-06-29 12:15:24.0   30          NDBC
21416        240 NM SE of Kamchatka Peninsula                    48.12167   163.32834   5831          2018-06-18 04:00:00.0   99          NDBC
21418        450 NM NE of Tokyo, Japan                           38.74167   148.67000   5766          2017-07-06 16:15:00.0   30          NDBC
21419        209 NM SE of Kuril Islands                          44.43500   155.71666   5282          2018-06-20 02:00:00.0   99          NDBC
23218        Bay of Bengal                                        9.99889    88.50000   3350          2016-05-17 11:04:15.0   99          INTERNATIONAL
23219        Bay of Bengal                                       13.49972    88.99777   2938          2016-05-13 15:04:17.0   99          INTERNATIONAL
23223        Bay of Bengal                                       17.33333    89.48333   2351          2014-10-19 10:44:34.0   99          INTERNATIONAL
23226        Arabian Sea                                         20.20000    67.33334   3080          2014-02-12 11:01:23.0   99          INTERNATIONAL
23227        Bay of Bengal                                        6.25472    88.79195   3799          2011-10-06 16:06:58.0   99          INTERNATIONAL
23228        Arabian Sea                                         20.79861    65.34667   2880          2011-10-06 15:59:50.0   99          INTERNATIONAL
23401        BAY OF BENGAL - 600 NM WNW of Phuket, Thailand       8.86083    88.55806   3472          2017-10-12 09:00:00.0   99          INTERNATIONAL
32067        Offshore Esmeraldas                                  0.65528   -81.22361   2965          2014-04-08 10:11:53.0   99          INTERNATIONAL
32401        180 NM West of Iquique, Chile                      -20.46861   -73.43278   4794          2017-10-11 18:00:00.0   99          INTERNATIONAL
32402        Coast of Caldera                                   -26.73472   -73.97750   4050          2017-10-13 16:00:00.0   99          INTERNATIONAL
32403        Coast of Chile                                     -23.15361   -72.03416   4200          2018-01-31 12:00:00.0   99          INTERNATIONAL
32404        Coast of Chile                                     -32.10528   -73.79528   4205          2017-12-14 10:22:31.0   99          INTERNATIONAL
